title,mood,language,genre,rating,year,movie_platform,image_url,director,cast,description,
The Shawshank Redemption,motivated,English,Drama,9.3,1994,Netflix,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRipfEoI8fb4qxidki3e_kp3fr_Kopvoi2yCKcpJGf2ngnKweMR,Frank Darabont Tim Robbins,Morgan Freeman-Bob Gunton,A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict while maintaining his innocence and trying to remain hopeful through simple compassion Morgan Freeman Bob Gunton
Inception,motivated,English,Sci-Fi,8.8,2010,Amazon Prime,https://filmartgallery.com/cdn/shop/files/Inception-Vintage-Movie-Poster-Original.jpg?v=1738912645,Christopher Nolan Leonardo DiCaprio,Joseph Gordon-Levitt Ellen Page,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O. Joseph Gordon-Levitt Ellen Page
La La Land,romantic,English,Musical,8.0,2016,Netflix,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn1.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcROdG2hxWRGPiw_BvG1kZNeFy6mSf1VJl627bz1xRBaemQqhAqb&psig=AOvVaw004InGTAk7udTkLjAqpmUs&ust=1762577487259000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCLjJuvee35ADFQAAAAAdAAAAABAE,Damien Chazelle ,Emma Stone-Ryan Gosling-,A jazz pianist falls for an aspiring actress in Los Angeles while pursuing their dreams.
Forrest Gump,happy,English,Drama,8.8,1994,Amazon Prime,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2MIAoY_Q1ecv4Pe_azo8kUAXgEQBQAh5lUw&s,Robert Zemeckis Tom Hanks-,Robin Wright-Gary Sinise-,The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75 whose only desire is to be reunited with his childhood sweetheart. Robin Wright Gary Sinise.
The Dark Knight,motivated,English,Action,9.0,2008,Netflix,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn3.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcQkUywIUXDjHSQJIaNHYVs08osgBpF5Ot-xmB_omyEZeeRP9Xug&psig=AOvVaw3S5QFhk3KlIew9v-KydXYm&ust=1762576008362000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCLjAs7aZ35ADFQAAAAAdAAAAABAE,Christopher Nolan Christian Bale,Heath Ledger-Aaron Eckhart,When the menace known as the Joker emerges from his mysterious past he wreaks havoc and chaos on the people of Gotham the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice. Heath Ledger Aaron Eckhart.
The Notebook,romantic,English,Romance,7.8,2004,Amazon Prime,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn1.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcTtfuO7NsIV0sCFyqnVPQ8zMdyz4uUenuPlYuTn0Wk7aj0oGgCV&psig=AOvVaw3_uZdyIYLdvC_WE8GF5gJ6&ust=1762577505722000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCLjJn4Cf35ADFQAAAAAdAAAAABAE,Nick Cassavetes Ryan Gosling,Rachel McAdams-James Garner-,A poor yet passionate young man falls in love with a rich young womans but they are soon separated because of their social differences. Years later they reunite but their love is challenged by the passage of time and a secret that could keep them apart. Rachel McAdams James Garner.
Interstellar,motivated,English,Sci-Fi,8.6,2014,Netflix,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcT9oW0XQlu1lo1G_49M-YwGzKR6rUg-CtflZj07HfbT8d2GwKWg&psig=AOvVaw2jcMi_3dDvn8nGfkxQgMLT&ust=1762576034441000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMjQ98KZ35ADFQAAAAAdAAAAABAE,Christopher Nolan Matthew McConaughey,Anne Hathaway-Jessica Chastain-,A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival. Anne Hathaway Jessica Chastain.
A Beautiful Mind,motivated,English,Biography,8.2,2001,Amazon Prime,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcSaK28FOfujbMXngNpAOlcOHe7Etxm2PPi1tl7_nKxinDVZ0hsI&psig=AOvVaw2FjCLJ7tGMeWltbzLtJKae&ust=1762576224080000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCNDJnJ2a35ADFQAAAAAdAAAAABAE,Ron Howard Russell Crowe-Jennifer Connelly-,Ed Harris-Paul Bettany-,After John Nash a brilliant but asocial mathematician accepts secret work in cryptography he begins to develop paranoid schizophrenia and endures delusional episodes while painfully watching the toll his condition takes on his wife and friends. Jennifer Connelly Ed Harris Paul Bettany.
The Pursuit of Happyness,motivated,English,Biography,8.0,2006,Netflix,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcQCAVNHSTMg1kboB9nLrl_xjF7cJQJsjj8fNPqkYwb8pc_mmpe9&psig=AOvVaw1olrAlA5quSbX_yPU0fkgg&ust=1762576311746000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCKDfmcea35ADFQAAAAAdAAAAABAE,Bruce McDonald Will Smith-Thandie Newton-,Jaden Smith-Brian Howe-,A struggling salesman takes custody of his son as he is poised to begin a life-changing professional career. Thandie Newton Jaden Smith Brian Howe.
3 Idiots,motivated,Hindi,Comedy-Drama,8.4,2009,Netflix,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn2.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcQV7sONOx4fl1xq9CbdWUmcTamWwzrPMzqKhZOGHh-V0zHpn0Ly&psig=AOvVaw0sPy-m-sty0KNHeOn1Vko0&ust=1762576369316000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCOiJreOa35ADFQAAAAAdAAAAABAM,Rajkumar Hirani Aamir Khan-R Madhavan-Sharman Joshi-,Kareena Kapoor-Boman Irani-,Two friends are searching for their long-lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them idiots. Kareena Kapoor Boman Irani.
Dilwale Dulhania Le Jayenge,romantic,Hindi,Romance,8.1,1995,Amazon Prime,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcRFsQa8EcnB4W2gdO0bEh5HQnu1Y4knPPWvaUdI5zUrik_R-vD5&psig=AOvVaw1T8RCIgpi0VuINgZ5jkDjk&ust=1762576430302000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCCwf-a35ADFQAAAAAdAAAAABAE,Aditya Chopra Shah Rukh Khan-Kajol-,Amrish Puri-Anupam Kher-,Raj and Simran fall in love during a vacation in Europe but are separated when Raj returns to India
Taare Zameen Par,motivated,Hindi,Drama,8.4,2007,Disney+ Hotstar,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcSLKhA9TsgkzaYnU6vWozqFidVVhRcNxqJywYjdYjNVnRftciOf&psig=AOvVaw2Z2mfOXCTfYOhQJqW8MSSw&ust=1762576446312000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCID0mIeb35ADFQAAAAAdAAAAABAE,Aamir Khan Darsheel Safary-Tanay Chheda-,Tisca Chopra-Deepak Dobriyal-,An eight-year-old dyslexic child is misunderstood by his family and teachers until a new art teacher discovers his hidden potential and helps him find his way in the world. Tisca Chopra Deepak Dobriyal.
Zindagi Na Milegi Dobara,happy,Hindi,Adventure,8.2,2011,Netflix,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn3.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcQqOb7SYCekBWHrdqpplOSANdbjx-tff4WH6_-wxTtFY9viR4UU&psig=AOvVaw0skKOVKeeE5vbyusjxXwFS&ust=1762575938186000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCICZyJWZ35ADFQAAAAAdAAAAABAM,Zoya Akhtar Hrithik Roshan-Farhan Akhtar-Abhay Deol-,Katrina Kaif-Kalki Koechlin-,Three friends decide to turn their fantasy vacation into reality by embarking on a road trip in Spain where they face their fears and discover themselves along the way. Katrina Kaif Kalki Koechlin.
Kal Ho Naa Ho,sad,Hindi,Romance,7.9,2003,Amazon Prime,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn2.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcSZQLT6Qij5Hb85nSE-e1iglQ5XJtqNnfknVt3IyYp5117eEE3l&psig=AOvVaw10h3K26TEiss-CdnJxjyoe&ust=1762576349201000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCPiZttma35ADFQAAAAAdAAAAABAE,Nikkhil Advani Shah Rukh Khan-Juhi Chawla-Saif Ali Khan-,Preity Zinta-Sushmita Sen-,Naina a hopeless romantic lives in New York with her mother and best friend. Her life changes when she meets Aman a lively
Queen,happy,Hindi,Drama,8.2,2014,Netflix,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn2.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcS2AhKeea-p4V7NJdojOiYGTk75z6ovepnZlemD_JkS1HBBYsNb&psig=AOvVaw1G7o_mL4vTvq1RtTQRBHHE&ust=1762576474634000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCIiBzpSb35ADFQAAAAAdAAAAABAE,Vikas Bahl Kangana Ranaut-Rajkummar Rao-,Lisa Haydon-Sandeepa Dhar-,A young woman from Delhi decides to go on her honeymoon alone after her fiancé calls off their wedding. In Paris and Amsterdam she discovers her own identity and self-worth. Lisa Haydon Sandeepa Dhar.
Chhichhore,motivated,Hindi,Comedy-Drama,8.2,2019,Netflix,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn2.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcTR7lN6yKpdOvxKUBIdGX_HpkBFW5FDup4gzgMnumJzer8KEt9i&psig=AOvVaw0mx1zSNM5w6WYEl9CxGrQl&ust=1762576501236000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCPjBoaGb35ADFQAAAAAdAAAAABAE,Nitesh Tiwari Sushant Singh Rajput-Shraddha Kapoor-,Varun Sharma-Tahir Raj Bhasin-,A middle aged man reflects on his college days and the friends he made there after his son attempts to commit suicide due to academic pressure. Shraddha Kapoor Varun Sharma Tahir Raj Bhasin.
Barfi,romantic,Hindi,Drama,8.1,2012,Amazon Prime,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn3.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcRtgs5mDLnQXzqioMkwbCtjqNjhWmS-39ls2UfM-Mjxq77u9JAa&psig=AOvVaw1VrAwT3UMXTMwFzMrA8vBq&ust=1762576534583000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCLjSqrGb35ADFQAAAAAdAAAAABAE,Anurag Basu,Ranbir KapoorPriyanka Chopra JonasIleana D'Cruz,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
