song_image_url,youtube_url,spotify_urlname,singer,movie_name,mood,language
Yaarige Yaaruntu,Rajesh Krishnan,Nanda Gokula,Happy,Kannada,https://c.saavhttps://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcQAgvrDvhCbk7gTSng0daFlOL9juVVVpi9j60JjaoyaHyrmFJsc&psig=AOvVaw00M3O76baDZ1roM0M-aTgb&ust=1762797586945000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCLjVw_HS5ZADFQAAAAAdAAAAABAEncdn.com/328/Nanda-Gokula-Kannada-2022-20221005191124-500x500.jpg,https://www.youtube.com/watch?v=FWV58Rx0rAw,https://open.spotify.com/track/5CVb9ssEPRmLwPoaR6UVQv
Neene Neene,Sonu Nigam,Aakash,Romantic,Kannada,https://i.scdn.co/image/ab67616d0000b273f3d88e6e35e70a06bdf80f61,https://www.youtube.com/watch?v=8sX50VqHnA4,https://open.spotify.com/track/0DXQOj0mPO5c5MSQk6HEae
Belageddu,Haripriya,Kirik Party,Happy,Kannada,https://i.scdn.co/image/ab67616d0000b27302c3e5e14c7a39a4d9d9d7b7,https://www.youtube.com/watch?v=vYXGjPnxh9Y,https://open.spotify.com/track/7vVx3j2H2yVb5uH1fWULk8
Hrudayada Hadugalu,S. P. Balasubrahmanyam,America America,Sad,Kannada,https://i.scdn.co/image/ab67616d0000b2735dc2e8a6a02a1a4dd8ec63a3,https://www.youtube.com/watch?v=obW0K8YfYg8,https://open.spotify.com/track/1N5WKn0s5YhYwL1pxoavSq
Minsara Poove,Hariharan,Padayappa,Romantic,Tamil,https://i.scdn.co/image/ab67616d0000b273b2e3a96a9714e6b2d0f9e281,https://www.youtube.com/watch?v=zZoKZp1M20A,https://open.spotify.com/track/4EG6g4pYVScnVq6oUXT6uG
Vaseegara,Bombay Jayashri,Minnale,Romantic,Tamil,https://i.scdn.co/image/ab67616d0000b27320c2b8a31639a00b8c4b9494,https://www.youtube.com/watch?v=8qfXj0dW_5s,https://open.spotify.com/track/1RZtS4iZobGdNfnxR9lWxW
Why This Kolaveri Di,Dhanush,3,Happy,Tamil,https://i.scdn.co/image/ab67616d0000b273edb8d8d2b64c49c8b87a7d87,https://www.youtube.com/watch?v=YR12Z8f1Dh8,https://open.spotify.com/track/5n8AujQLNs0Xl2vqL2J2L4
Kannazhaga,Dhanush|Shruti Haasan,3,Romantic,Tamil,https://i.scdn.co/image/ab67616d0000b27343de5fbb39fcd918db8bbed5,https://www.youtube.com/watch?v=1tRLveSyNz8,https://open.spotify.com/track/5oSAgbBlbq3s2vYduWVC3I
Aalaporaan Thamizhan,A. R. Rahman,Mersal,Motivated,Tamil,https://i.scdn.co/image/ab67616d0000b273d4f6a9ef558a7966a0f54e2d,https://www.youtube.com/watch?v=3x2ABSAMVno,https://open.spotify.com/track/6lO1uIXqFDYd0Sg7wK0eN9
Butta Bomma,Armaan Malik,Ala Vaikunthapurramuloo,Romantic,Telugu,https://i.scdn.co/image/ab67616d0000b273788a1f9bbac2e0c9df9b9a38,https://www.youtube.com/watch?v=1YVz3N3pFGY,https://open.spotify.com/track/3NfxSdJnVdon1axzloJgba
Samajavaragamana,Sid Sriram,Ala Vaikunthapurramuloo,Romantic,Telugu,https://i.scdn.co/image/ab67616d0000b273a764efae3e9a92f21e2b894b,https://www.youtube.com/watch?v=O2RXiaxjJjY,https://open.spotify.com/track/4YxrYG1HR2eb2ThZcZKfO2
Rowdy Baby,Dhanush|Dhee,Maari 2,Happy,Telugu,https://i.scdn.co/image/ab67616d0000b273d53b2b78a51db7c4a4d2df68,https://www.youtube.com/watch?v=x6Q7c9RyMzk,https://open.spotify.com/track/1bsp5f6xNRs4E8uCBeZVwu
Nee Kallalona,Sid Sriram,Padi Padi Leche Manasu,Romantic,Telugu,https://i.scdn.co/image/ab67616d0000b2735e861d78532a9fdd4a5843da,https://www.youtube.com/watch?v=_FePvxZt9G8,https://open.spotify.com/track/2tPcM5wJqQ1qWdcFqkqD4P
Ramulo Ramula,Anurag Kulkarni,Ala Vaikunthapurramuloo,Happy,Telugu,https://i.scdn.co/image/ab67616d0000b27390a3f3dc92774072f8cebe87,https://www.youtube.com/watch?v=tJnlT2ae_bo,https://open.spotify.com/track/5MiUPY0s3pK4Uw1iTtRZQG
Tum Hi Ho,Arijit Singh,Aashiqui 2,Romantic,Hindi,https://i.scdn.co/image/ab67616d0000b2732fbc4e6e5081c2b4f9a7a9d0,https://www.youtube.com/watch?v=Umqb9KENgmk,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
Kesariya,Arijit Singh,Brahmāstra,Romantic,Hindi,https://i.scdn.co/image/ab67616d0000b273d25b798a0f4b87f2c0f9cb2e,https://www.youtube.com/watch?v=BddP6PYo2gs,https://open.spotify.com/track/5vKZycdmF3hRkQK4Tpo4Xp
Apna Bana Le,Arijit Singh,Bhediya,Romantic,Hindi,https://i.scdn.co/image/ab67616d0000b273e35e9a31c53e030cb6d94b85,https://www.youtube.com/watch?v=PSYHMWmyVfo,https://open.spotify.com/track/3zA9QdBzYvbQdqvU3jA9Za
Kar Har Maidaan Fateh,Sukhwinder Singh|Shreya Ghoshal,Sanju,Motivated,Hindi,https://i.scdn.co/image/ab67616d0000b2734ac4e89736b4cc30bd2e212f,https://www.youtube.com/watch?v=2uQFfpe6C18,https://open.spotify.com/track/4Uv86qWpGTxf7fU7lG5X6F
Zinda,Siddharth Mahadevan,Bhaag Milkha Bhaag,Motivated,Hindi,https://i.scdn.co/image/ab67616d0000b2733e0a40d47d2b295c6d861ef9,https://www.youtube.com/watch?v=bf6VdH7ThMs,https://open.spotify.com/track/0U9YpKQnQyz6zZJQz6gWJH
Shape of You,Ed Sheeran,÷,Happy,English,https://i.scdn.co/image/ab67616d0000b2738f2a8f55f0b4e04b4b80c7e8,https://www.youtube.com/watch?v=JGwWNGJdvx8,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
Perfect,Ed Sheeran,÷,Romantic,English,https://i.scdn.co/image/ab67616d0000b2739e1b9a6c5a69f1b39b8b15c7,https://www.youtube.com/watch?v=2Vv-BfVoq4g,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
Someone Like You,Adele,21,Sad,English,https://i.scdn.co/image/ab67616d0000b273b1a9a0a6a6ddee7b8d2a3c0f,https://www.youtube.com/watch?v=hLQl3WQQoQ0,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB
Happy,Pharrell Williams,Despicable Me 2,Happy,English,https://i.scdn.co/image/ab67616d0000b273c179f6e2f171bd87d6d4320b,https://www.youtube.com/watch?v=ZbZSe6N_BXs,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH
Believer,Imagine Dragons,Evolve,Motivated,English,https://i.scdn.co/image/ab67616d0000b273d62cae2b6fa0b8940f90a4f2,https://www.youtube.com/watch?v=7wtfhZwyrcc,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
Manikarnika Theme,Shankar–Ehsaan–Loy,Manikarnika,Motivated,Hindi,https://i.scdn.co/image/ab67616d0000b27379b01a26131b3198a6fd0127,https://www.youtube.com/watch?v=EZeyUGFryKk,https://open.spotify.com/track/4klPk96SL6oE9W0QfxDCnW
Thumbi Thullal,K. S. Harisankar,Thiruchitrambalam,Happy,Malayalam,https://i.scdn.co/image/ab67616d0000b27367f807ce55848d727c8fdc60,https://www.youtube.com/watch?v=asYI6WbZQ6U,https://open.spotify.com/track/5H2PsbR4KDaFYp2VhZtD4E
Mizhiyil Ninnum,M. G. Sreekumar,Manichitrathazhu,Romantic,Malayalam,https://i.scdn.co/image/ab67616d0000b2733b927aaf4e6a8569e8e6823a,https://www.youtube.com/watch?v=Gzm-XzRk4vQ,https://open.spotify.com/track/1EAcgJvHKqYrYdbFiFa5M3
Entammede Jimikki Kammal,Vineeth Sreenivasan,Velipadinte Pusthakam,Happy,Malayalam,https://i.scdn.co/image/ab67616d0000b2734ad2e09334b99c4a595b1ac3,https://www.youtube.com/watch?v=EgBJmlPo8Xw,https://open.spotify.com/track/0vOaEjkqP4x8i2rtGZu4b3
Aararo,Madhu Balakrishnan,Joseph,Sad,Malayalam,https://i.scdn.co/image/ab67616d0000b273df1da7b7f87a9e706ed2dfb9,https://www.youtube.com/watch?v=UNz1Y-BxHnA,https://open.spotify.com/track/6BVRkWRmX6Mq1vlpLJhZCx
Malare,Vijay Yesudas,Premam,Romantic,Malayalam,https://i.scdn.co/image/ab67616d0000b273b3d9b3afab556eaa2dc94c5b,https://www.youtube.com/watch?v=Z3xTTb7P5yw,https://open.spotify.com/track/6QF8P9dYcV2kP7yM1G9mPb
